name,name,length,played_time
Midge Marsden,Burning Rain,227,2021-09-01 14:39:19+12
Aerosmith,Crazy,240,2021-09-01 14:47:59+12
Eskimo Joe,From The Sea,199,2021-09-01 14:52:07+12
The Exponents,Who Loves Who The Most?,253,2021-09-01 14:55:28+12
Ozzy Osbourne,Ordinary Man,299,2021-09-01 15:06:33+12
Nirvana,Stay Away,212,2021-09-01 15:11:39+12
Foreigner,Urgent,278,2021-09-01 15:18:12+12
Alabama 3,Woke Up This Morning,224,2021-09-01 15:22:40+12
U2,"Hold Me, Thrill Me, Kiss Me, Kill Me",278,2021-09-01 15:26:32+12
Chevelle,Send The Pain Below,251,2021-09-01 15:31:16+12
Crowded House,Distant Sun,225,2021-09-01 15:36:28+12
Head Like A Hole,Cornbag,224,2021-09-01 15:40:16+12
Crash Test Dummies,Mmm Mmm Mmm,226,2021-09-01 15:48:56+12
Sepultura,Desperate Cry,398,2021-09-01 15:52:46+12
Creedence Clearwater Revival,Lookin' Out My Back Door,150,2021-09-01 16:08:35+12
Highly Suspect,Claudeland,196,2021-09-01 16:11:14+12
Ministry,Jesus Built My HotRod,270,2021-09-01 16:14:36+12
The Killers,Run For Cover,217,2021-09-01 16:20:25+12
Led Zeppelin,Houses Of The Holy,237,2021-09-01 16:24:12+12
Villainy,No Future,200,2021-09-01 16:28:14+12
A Flock of Seagulls,I Ran,304,2021-09-01 16:32:36+12
Bush,Everything Zen,276,2021-09-01 16:38:13+12
Cold War Kids,First,196,2021-09-01 16:48:58+12
Pink Floyd,Run Like Hell,260,2021-09-01 16:52:41+12
Janes Addiction,Just Because,231,2021-09-01 17:05:51+12
Pearl Jam,Oceans,162,2021-09-01 17:09:59+12
Iggy Pop,The Passenger,281,2021-09-01 17:12:56+12
Faith No More,We Care A Lot,242,2021-09-01 17:19:01+12
Jet,Cold Hard Bitch,243,2021-09-01 17:23:09+12
The Offspring,Want You Bad,202,2021-09-01 17:28:51+12
John Mellencamp,Hurts So Good,211,2021-09-01 17:32:14+12
Weezer,Africa,235,2021-09-01 17:36:06+12
INXS,Original Sin,224,2021-09-01 17:46:39+12
Shihad,Think You're So Free,246,2021-09-01 17:50:29+12
Elemeno P,Everyday's A Saturday,170,2021-09-01 17:54:05+12
AC/DC,High Voltage,246,2021-09-01 18:06:31+12
A Perfect Circle,Weak And Powerless,193,2021-09-01 18:10:34+12
Kiss,Beth,182,2021-09-01 18:14:06+12
Papa Roach,Scars,207,2021-09-01 18:18:09+12
Foo Fighters,D.O.A,250,2021-09-01 18:21:39+12
P.O.D.,Boom,185,2021-09-01 18:25:59+12
Ben Harper,Please Bleed,274,2021-09-01 18:30:06+12
Stevie Ray Vaughan,Pride and Joy,220,2021-09-01 18:34:43+12
Shihad,FVEY,215,2021-09-01 18:38:46+12
Hole,Malibu,228,2021-09-01 18:50:28+12
Billy Talent,Rusted From The Rain,251,2021-09-01 18:54:31+12
Bob Dylan,Jokerman,340,2021-09-01 18:58:45+12
Soul Asylum,Runaway Train,259,2021-09-02 08:03:08+12
Stone Temple Pilots,Big Bang Baby,202,2021-09-02 08:07:29+12
Kings Of Leon,Charmer,175,2021-09-02 08:10:50+12
Kings Of Leon,Revelry,199,2021-09-02 08:20:15+12
Stone Sour,Absolute Zero,229,2021-09-02 08:23:39+12
Jethro Tull,Locomotive Breath,267,2021-09-02 08:29:42+12
The Pretty Reckless,Take Me Down,245,2021-09-02 08:34:14+12
Lenny Kravitz,Fly Away,218,2021-09-02 08:44:43+12
Crowded House,Fall At Your Feet,195,2021-09-02 08:48:28+12
Seether,Same Damn Life,196,2021-09-02 08:52:20+12
Silverchair,Anthem For The Year 2000,224,2021-09-02 09:02:43+12
Rancid,Ruby Soho,155,2021-09-02 09:06:33+12
Genesis,I Can't Dance,243,2021-09-02 09:09:41+12
A Perfect Circle,Pet,271,2021-09-02 09:15:20+12
The Muttonbirds,Anchor Me,268,2021-09-02 09:19:58+12
Collective Soul,Where The River Flows,212,2021-09-02 09:24:29+12
Joan Jett & The Blackhearts,I Hate Myself For Loving You,251,2021-09-02 09:28:10+12
Iron Maiden,The Writing On The Wall,374,2021-09-02 09:32:26+12
Racing,Party Slow,181,2021-09-02 09:38:41+12
U2,Beautiful Day,239,2021-09-02 09:47:50+12
Franz Ferdinand,Take Me Out,238,2021-09-02 09:51:54+12
Queen,Bicycle Race,179,2021-09-02 10:01:13+12
Matchbox 20,Disease,217,2021-09-02 10:04:15+12
INXS,Suicide Blonde,225,2021-09-02 10:07:57+12
Turnstile,Holiday,152,2021-09-02 10:12:28+12
Rolling Stones,You Can't Always Get What You Want,445,2021-09-02 10:15:03+12
Radiohead,High And Dry,253,2021-09-02 10:22:27+12
Guns N' Roses,My Michelle,216,2021-09-02 10:27:40+12
Paramore,Brick By Boring Brick,251,2021-09-02 10:31:21+12
Foreigner,Hot Blooded,259,2021-09-02 10:35:37+12
Saving Abel,Addicted,223,2021-09-02 10:44:35+12
Don Henley,The Boys Of Summer,255,2021-09-02 10:48:39+12
The Black Keys,Howlin For You,190,2021-09-02 10:53:25+12
Warrant,Cherry Pie,189,2021-09-02 11:02:34+12
Pearl Jam,Once,190,2021-09-02 11:05:48+12
The Offspring,Defy You,227,2021-09-02 11:09:03+12
Led Zeppelin,All My Love,339,2021-09-02 11:13:42+12
Good Charlotte,The River,191,2021-09-02 11:19:22+12
Counting Crows,Mr Jones,268,2021-09-02 11:23:15+12
Bruce Springsteen,Radio Nowhere,194,2021-09-02 11:28:43+12
Dragon,Young Years,238,2021-09-02 11:31:59+12
Smashing Pumpkins,Rhinoceros,392,2021-09-02 11:36:05+12
Queen,Tie Your Mother Down,222,2021-09-02 11:46:42+12
David Bowie,Rebel Rebel,266,2021-09-02 11:50:30+12
U2 & Green Day,The Saints Are Coming,201,2021-09-02 11:55:02+12
Pearl Jam,Off He Goes,342,2021-09-02 12:04:21+12
Megadeth,A Tout Le Monde,261,2021-09-02 12:10:35+12
Shihad,Alive,241,2021-09-02 12:15:00+12
The Cure,Lullaby,250,2021-09-02 12:19:03+12
Ozzy Osbourne,Bark At The Moon,255,2021-09-02 12:24:22+12
Dragon,Are You Old Enough,248,2021-09-02 12:28:41+12
Interpol,Evil,212,2021-09-02 12:32:38+12
Linkin Park,Lying From You,164,2021-09-02 12:36:52+12
Supertramp,The Logical Song,247,2021-09-02 12:39:38+12
Kings Of Leon,Back Down South,243,2021-09-02 12:48:39+12
Pearl Jam,Do The Evolution,226,2021-09-02 12:52:38+12
Blink-182,Feeling This,174,2021-09-02 13:01:13+12
Knightshade,Last Night In The City,242,2021-09-02 13:04:07+12
The Pretty Reckless,Only Love Can Save Me Now,301,2021-09-02 13:08:47+12
Deep Purple,Highway Star,365,2021-09-02 13:14:23+12
Serj Tankian,Empty Walls,224,2021-09-02 13:20:32+12
Black Sabbath,Snowblind,324,2021-09-02 13:24:22+12
Third Eye Blind,Semi Charmed Life,220,2021-09-02 13:30:36+12
Traveling Wilburys,Tweeter and the Monkey Man,325,2021-09-02 13:34:19+12
John Mellencamp,Jack & Dianne,251,2021-09-02 13:39:38+12
Smashing Pumpkins,Muzzle,220,2021-09-02 13:48:40+12
Phil Collins,Another Day In Paradise,277,2021-09-02 13:52:24+12
Three Days Grace,Painkiller,169,2021-09-02 14:02:28+12
A Perfect Circle,The Hollow,176,2021-09-02 14:05:23+12
