"rank","title","album","artist","albumYear","rankOneYearAgo","timestamp","albumArt"
"130","People","","Mi-Sex","","","2020-10-25 18:05:00","https://cdn.mediaworks.nz/radio/song/images/people_400_mi_sex.jpg?width=400&height=400&crop=auto"
"131","Ashes To Ashes","","David Bowie","","","2020-10-25 18:00:00","https://cdn.mediaworks.nz/radio/song/images/ashes_to_ashes_400_david_bowie.jpg?width=400&height=400&crop=auto"
"132","Bad To The Bone","","George Thorogood & ...","","","2020-10-25 17:55:00","https://cdn.mediaworks.nz/radio/song/images/bad_to_the_bone_400_george_thorogood_.jpg?width=400&height=400&crop=auto"
"133","Come Together","","Beatles","","","2020-10-25 17:50:00","https://cdn.mediaworks.nz/radio/song/images/come_together_400_beatles.jpg?width=400&height=400&crop=auto"
"134","Down To The Waterline","","Dire Straits","","","2020-10-25 17:45:00","https://cdn.mediaworks.nz/radio/song/images/down_to_the_waterline_400_dire_straits.jpg?width=400&height=400&crop=auto"
"135","People Are Strange","","Doors","","","2020-10-25 17:40:00","https://cdn.mediaworks.nz/radio/song/images/people_are_strange_400_doors.jpg?width=400&height=400&crop=auto"
"136","Take Me To The River","","Talking Heads","","","2020-10-25 17:35:00","https://cdn.mediaworks.nz/radio/song/images/take_me_to_the_river_400_talking_heads.jpg?width=400&height=400&crop=auto"
"137","Bloody Well Right","","Supertramp","","","2020-10-25 17:30:00","https://cdn.mediaworks.nz/radio/song/images/bloody_well_right_400_supertramp.jpg?width=400&height=400&crop=auto"
"138","Dreams","","Fleetwood Mac","","","2020-10-25 17:25:00","https://cdn.mediaworks.nz/radio/song/images/dreams_400_fleetwood_mac.jpg?width=400&height=400&crop=auto"
"139","Let's Dance","","David Bowie","","","2020-10-25 17:20:00","https://cdn.mediaworks.nz/radio/song/images/let_s_dance_400_david_bowie.jpg?width=400&height=400&crop=auto"
"140","Hollywood Nights","","Bob Seger & The Silve...","","","2020-10-25 17:15:00","https://cdn.mediaworks.nz/radio/song/images/hollywood_nights_400_bob_seger_the_silve_.jpg?width=400&height=400&crop=auto"
"141","One Way Or Another","","Blondie","","","2020-10-25 17:10:00","https://cdn.mediaworks.nz/radio/song/images/one_way_or_another_400_blondie.jpg?width=400&height=400&crop=auto"
"142","Dirty Deeds Done Dirt Cheap","","AC/DC","","","2020-10-25 17:05:00","https://cdn.mediaworks.nz/radio/song/images/dirty_deeds_done_dirt_cheap_400_ac_dc.jpg?width=400&height=400&crop=auto"
"143","Dreadlock Holiday","","10CC","","","2020-10-25 17:00:00","https://cdn.mediaworks.nz/radio/song/images/dreadlock_holiday_400_10cc.jpg?width=400&height=400&crop=auto"
"144","Learning To Fly","","Tom Petty & the Hear...","","","2020-10-25 16:55:00","https://cdn.mediaworks.nz/radio/song/images/learning_to_fly_400_tom_petty_the_hear_.jpg?width=400&height=400&crop=auto"
"145","Blinded By The Light","","Manfred Mann's Earth...","","","2020-10-25 16:50:00","https://cdn.mediaworks.nz/radio/song/images/blinded_by_the_light_400_manfred_mann_s_earth_.jpg?width=400&height=400&crop=auto"
"146","Still In Love With You","","Dragon","","","2020-10-25 16:45:00","https://cdn.mediaworks.nz/radio/song/images/still_in_love_with_you_400_dragon.jpg?width=400&height=400&crop=auto"
"147","Copperhead Road","","Steve Earle","","","2020-10-25 16:40:00","https://cdn.mediaworks.nz/radio/song/images/copperhead_road_400_steve_earle.jpg?width=400&height=400&crop=auto"
"148","I Want To Break Free","","Queen","","","2020-10-25 16:35:00","https://cdn.mediaworks.nz/radio/song/images/i_want_to_break_free_400_queen.jpg?width=400&height=400&crop=auto"
"149","Fortunate Son","","Creedence Clearwate...","","","2020-10-25 16:30:00","https://cdn.mediaworks.nz/radio/song/images/fortunate_son_400_creedence_clearwate_.jpg?width=400&height=400&crop=auto"
